"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv610"	0	0	0	0	0	0	48
"Asv611"	0	29	0	0	0	0	0
"Asv612"	0	0	0	0	0	0	16
"Asv613"	4	26	36	0	0	11	0
"Asv614"	0	0	0	0	19	0	0
"Asv615"	0	32	0	0	0	0	0
"Asv616"	124	0	0	0	0	0	0
"Asv617"	43	79	51	47	0	0	0
"Asv618"	24	109	57	0	30	0	0
"Asv619"	104	0	0	35	0	0	0
"Asv620"	0	34	28	0	32	0	0
"Asv621"	0	0	42	50	0	0	0
"Asv622"	0	53	114	53	0	0	0
"Asv623"	0	0	17	0	0	0	0
"Asv624"	0	0	0	0	0	13	0
"Asv625"	21	348	169	57	0	0	0
"Asv626"	0	38	0	14	0	0	0
"Asv627"	0	0	0	0	0	0	23
"Asv628"	0	0	9	0	0	0	0
"Asv629"	0	0	0	0	0	11	0
"Asv630"	6	0	0	0	0	0	0
"Asv631"	0	120	297	258	372	2155	0
"Asv632"	0	34	61	39	52	262	0
"Asv633"	0	0	0	0	0	0	37
"Asv634"	24	0	0	0	0	0	0
"Asv635"	0	2	0	0	0	0	0
"Asv636"	0	0	59	45	0	36	0
"Asv637"	0	0	0	0	0	0	33
"Asv638"	62	0	0	0	16	11	0
"Asv639"	0	0	0	0	0	16	0
"Asv640"	0	0	0	0	6	0	0
"Asv641"	43	0	33	0	0	0	0
"Asv642"	2016	7624	4454	1475	486	216	0
"Asv643"	0	0	60	0	0	0	0
"Asv644"	80	646	351	155	48	65	0
"Asv645"	0	17	0	0	0	0	0
"Asv646"	0	26	0	9	0	0	0
